id,cp_id,nama,teks_elemen,urutan
ELM-MAT-B-01,CP-MAT-B,Bilangan,"Memiliki pemahaman dan intuisi bilangan (number sense) pada bilangan cacah sampai 10.000; membaca, menulis, membandingkan, dan mengurutkan bilangan; menentukan dan menggunakan nilai tempat; melakukan komposisi dan dekomposisi bilangan cacah sampai 10.000. Murid dapat melakukan dan menyelesaikan masalah operasi bilangan penjumlahan dan pengurangan bilangan cacah sampai 1.000; melakukan dan menyelesaikan masalah operasi perkalian dan pembagian bilangan cacah sampai 100 dengan bantuan benda konkret, gambar dan simbol; mengenal kelipatan dan faktor. Murid dapat melakukan perbandingan dan pengurutan pecahan dengan pembilang satu dan antar pecahan dengan penyebut yang sama; mengenal dan dapat menerapkan pecahan senilai, memiliki intuisi pecahan dan desimal, serta dapat menentukan pecahan sebagai desimal dan persen.",1
ELM-MAT-B-02,CP-MAT-B,Aljabar,"Menemukan nilai yang tidak diketahui dalam kalimat matematika yang melibatkan penjumlahan dan pengurangan pada bilangan cacah sampai 100, dengan menggunakan sifat-sifat bilangan dan operasinya. Murid dapat mengidentifikasi, meniru, dan mengembangkan pola gambar atau objek sederhana dan pola bilangan membesar dan mengecil yang dapat melibatkan penjumlahan dan pengurangan pada bilangan cacah sampai 100.",2
ELM-MAT-B-03,CP-MAT-B,Pengukuran,"Mengukur panjang dan berat benda menggunakan satuan baku; menentukan hubungan antar-satuan baku panjang (cm, m) dan antar-satuan berat (g, kg); serta mengukur dan mengestimasi luas dan volume menggunakan satuan tidak baku dan satuan baku berupa bilangan cacah.",3
ELM-MAT-B-04,CP-MAT-B,Geometri,"Mendeskripsikan ciri berbagai bentuk bangun datar (segiempat, segitiga, segi banyak); menyusun (komposisi) dan mengurai (dekomposisi) berbagai bangun datar dengan lebih dari satu cara jika memungkinkan.",4
ELM-MAT-B-05,CP-MAT-B,Analisis Data dan Peluang,"Mengurutkan, membandingkan, menyajikan, menganalisis dan menginterpretasi data dalam bentuk tabel, diagram gambar, piktogram, dan diagram batang (skala satu satuan).",5
ELM-MAT-C-01,CP-MAT-C,Bilangan,"Menunjukkan pemahaman dan intuisi bilangan (number sense) pada bilangan cacah sampai 1.000.000; membaca, menulis, menentukan nilai tempat, membandingkan, mengurutkan, melakukan komposisi dan dekomposisi bilangan; menyelesaikan masalah yang berkaitan dengan uang; melakukan operasi penjumlahan, pengurangan, perkalian, dan pembagian bilangan cacah sampai 100.000; serta menyelesaikan masalah yang berkaitan dengan KPK dan FPB. Murid dapat membandingkan dan mengurutkan berbagai pecahan termasuk pecahan campuran, melakukan operasi penjumlahan dan pengurangan pecahan, serta melakukan operasi perkalian dan pembagian pecahan dengan bilangan asli; mengubah pecahan menjadi berbagai bentuk pecahan lain, serta membandingkan dan mengurutkan bilangan desimal (satu angka di belakang koma).",1
ELM-MAT-C-02,CP-MAT-C,Aljabar,"Menemukan nilai yang belum diketahui dalam kalimat matematika yang melibatkan penjumlahan, pengurangan, perkalian, dan pembagian pada bilangan cacah sampai 1000 dengan menggunakan sifat-sifat bilangan dan operasinya. Murid dapat mengidentifikasi, meniru, dan mengembangkan pola bilangan membesar dan mengecil yang melibatkan perkalian dan pembagian; bernalar secara proporsional untuk menyelesaikan masalah sehari-hari dengan rasio satuan; menggunakan operasi perkalian dan pembagian dalam menyelesaikan masalah sehari- hari yang terkait dengan proporsi.",2
ELM-MAT-C-03,CP-MAT-C,Pengukuran,"Menentukan keliling dan luas berbagai bentuk bangun datar (segitiga, segiempat, dan segi banyak) serta gabungannya; menghitung durasi waktu dan mengukur besar sudut pada bangun datar atau yang dibentuk dari dua garis berpotongan.",3
ELM-MAT-C-04,CP-MAT-C,Geometri,"Mengkonstruksi dan mengurai bangun ruang (kubus, balok, dan gabungannya) dan mengenali visualisasi spasial (bagian depan, atas, dan samping); membandingkan karakteristik antar bangun datar dan antar bangun ruang; serta menentukan lokasi pada peta yang menggunakan sistem berpetak.",4
ELM-MAT-C-05,CP-MAT-C,Analisis Data dan Peluang,"Mengurutkan, membandingkan, menyajikan, dan menganalisis data banyak benda dan data hasil pengukuran dalam bentuk gambar, piktogram, diagram batang, dan tabel frekuensi untuk mendapatkan informasi; menentukan kejadian dengan kemungkinan yang lebih besar atau lebih kecil dalam suatu percobaan acak.",5
ELM-BING-B-01,CP-BING-B,Menyimak - Berbicara (Listening - Speaking),Memahami dan merespon teks lisan atau teks multimodal sederhana tentang kehidupan sehari-hari baik secara verbal atau non-verbal sesuai konteks. (understand and respond to simple oral or multimodal texts about everyday life verbally or non-verbally in line with its context),1
ELM-BING-B-02,CP-BING-B,Membaca - Memirsa (Reading - Viewing),Memahami teks tulis pendek sederhana atau teks multimodal tentang kehidupan sehari-hari dan meresponsnya secara verbal atau non-verbal sesuai konteks. (Understand simple short texts or multimodal texts about everyday life and respond to them verbally or non-verbally in line with its context),2
ELM-BING-B-03,CP-BING-B,Menulis - Mempresentasikan (Writing - Presenting),Mengomunikasikan gagasan tentang topik sehari-hari dalam teks tulis pendek atau teks multimodal sesuai konteks. (Communicate their ideas on everyday life topics in simple written or multimodal texts in line with its context),3
ELM-BING-C-01,CP-BING-C,Menyimak - Berbicara (Listening - Speaking),Memahami alur informasi teks secara keseluruhan dan merespon teks lisan atau teks multimodal sederhana tentang topik sehari-hari secara lisan dengan kalimat pendek dan sederhana sesuai konteks. (Understand the entire flow of information and respond to simple oral or multimodal texts about everyday topics using short and simple sentences verbally in line with its context),1
ELM-BING-C-02,CP-BING-C,Membaca - Memirsa (Reading - Viewing),"Memahami alur informasi secara keseluruhan, gagasan utama dan informasi rinci dari beragam teks pendek atau teks multimodal tentang topik sehari-hari dan meresponnya sesuai konteks. (Understand the entire flow of information, main ideas and details from a variety of short texts or multimodal texts about everyday topics and respond in line with its context)",2
ELM-BING-C-03,CP-BING-C,Menulis - Mempresentasikan (Writing - Presenting),Mengomunikasikan ide dan pengalamannya melalui berbagai jenis teks tulis sederhana atau teks multimodal tentang topik sehari-hari sesuai konteks. (Communicate their ideas and experiences through various types of simple written texts or multimodal texts about everyday topics in line with its context),3
ELM-IPAS-B-01,CP-IPAS-B,Pemahaman IPAS,"Menjelaskan bentuk dan fungsi pancaindra; menganalisis siklus hidup makhluk hidup dan upaya pelestariannya; menghasilkan solusi untuk masalah yang berkaitan dengan pelestarian sumber daya alam sebagai upaya mitigasi perubahan iklim; menyimpulkan proses perubahan wujud zat; menjelaskan sumber dan bentuk energi, serta proses perubahan bentuk energi dalam kehidupan sehari-hari; membedakan jenis gaya dan pengaruhnya terhadap arah, gerak, dan bentuk benda; menjelaskan peran, tugas, dan tanggung jawab serta interaksi sosial yang terjadi di sekitar tempat tinggal dan sekolah; mengenali letak kabupaten/kota dan provinsi tempat tinggalnya dengan menggunakan peta konvensional/digital; mengklasifikasikan ragam bentang alam dan keterkaitannya dengan profesi masyarakat, ragam budaya serta upaya untuk melestarikannya; menganalisis sejarah masyarakat di lingkungan tempat tinggal; menjelaskan nilai mata uang dan fungsinya, serta cara mengelola keuangan secara bijak.",1
ELM-IPAS-B-02,CP-IPAS-B,Keterampilan Proses,"Mampu menerapkan keterampilan proses yang meliputi: ● Mengamati Murid mengamati fenomena dan peristiwa secara sederhana dan dapat mencatat hasil pengamatannya. ● Mempertanyakan dan Memprediksi Secara mandiri, murid mengajukan pertanyaan tentang hal-hal yang ingin diketahui saat melakukan pengamatan dan membuat prediksi berdasarkan pengetahuan yang dimiliki sebelumnya. ● Merencanakan dan Melakukan Penyelidikan Dengan panduan pendidik, murid membuat rencana dan melakukan langkah-langkah operasional untuk menjawab pertanyaan yang diajukan. Murid melakukan observasi menggunakan alat bantu pengukuran sederhana. ● Memproses, Menganalisis Data dan Informasi Dengan panduan pendidik, murid mengorganisasikan data dalam bentuk turus dan diagram gambar untuk menyajikan dan mengidentifikasi pola. Murid membandingkan antara hasil pengamatan dengan prediksi dan memberikan penjelasan. ● Mengevaluasi dan Refleksi Murid melakukan refleksi terhadap penyelidikan yang sudah dilakukan. ● Mengomunikasikan Hasil Murid mengomunikasikan hasil penyelidikan secara lisan dan tertulis dalam berbagai media.",2
ELM-IPAS-C-01,CP-IPAS-C,Pemahaman IPAS,"Merefleksikan sistem organ tubuh manusia yang dikaitkan dengan cara menjaga kesehatan tubuhnya; menganalisis hubungan antar komponen biotik dan abiotik, serta pengaruhnya terhadap ekosistem; menjelaskan fenomena gelombang bunyi dan cahaya dalam kehidupan sehari-hari; menghasilkan upaya penghematan energi, serta pemanfaatan sumber energi alternatif dari sumber daya yang ada di sekitarnya sebagai upaya mitigasi perubahan iklim; menjelaskan sistem tata surya, serta kaitannya dengan rotasi dan revolusi bumi; menjelaskan letak dan kondisi geografis negara Indonesia dengan menggunakan peta konvensional/digital; meninjau sejarah perjuangan para pahlawan di lingkungan sekitar tempat tinggalnya; menemukan keragaman budaya nasional dalam konteks kebhinekaan berdasarkan pemahaman terhadap nilai-nilai kearifan lokal yang berlaku di wilayah tempat tinggal; serta menerapkan kegiatan ekonomi masyarakat di lingkungan sekitar.",1
ELM-IPAS-C-02,CP-IPAS-C,Keterampilan Proses,"Mampu menerapkan keterampilan proses yang meliputi: ● Mengamati Murid mengamati fenomena dan peristiwa secara sederhana, mencatat hasil pengamatannya, serta mencari persamaan dan perbedaannya. ● Mempertanyakan dan Memprediksi Dengan panduan pendidik, murid mengidentifikasi pertanyaan yang dapat diselidiki secara ilmiah dan membuat prediksinya. ● Merencanakan dan Melakukan Penyelidikan Secara mandiri, murid merencanakan dan melakukan langkah-langkah operasional untuk menjawab pertanyaan yang diajukan. Murid melakukan observasi menggunakan alat bantu pengukuran sederhana. ● Memproses serta Menganalisis Data dan Informasi Murid mengolah data dalam bentuk tabel dan grafik, serta menjelaskan hasil pengamatan dan pola atau hubungan pada data. Murid membandingkan data dengan prediksi dan memberikan alasan berdasarkan bukti. ● Mengevaluasi dan Refleksi Melakukan refleksi dan memberikan saran perbaikan terhadap penyelidikan yang sudah dilakukan. ● Mengomunikasikan Hasil Murid mengomunikasikan hasil penyelidikan secara utuh yang ditunjang dengan argumen dalam berbagai media. VII.",2
ELM-SMUS-A-01,CP-SMUS-A,Mengalami (Experiencing),Mengenali unsur-unsur musik (nada dan irama) menggunakan anggota tubuh maupun alat musik.,1
ELM-SMUS-A-02,CP-SMUS-A,Merefleksikan (Reflecting),Melakukan umpan balik mengenai praktik bermain musik diri sendiri atau orang lain menggunakan bahasa sehari-hari.,2
ELM-SMUS-A-03,CP-SMUS-A,Berpikir dan Bekerja Artistik (Thinking and Working Artistically),Menirukan pola irama dan nada menggunakan alat musik ritmis atau melodis; mengenali ragam alat musik dan bunyi yang dihasilkan; mengenali cara memainkan dan membersihkan instrumen/alat musik.,3
ELM-SMUS-A-04,CP-SMUS-A,Menciptakan (Creating),Membuat pola irama menggunakan anggota tubuh atau alat musik ritmis yang tersedia di lingkungan sekitar.,4
ELM-SMUS-A-05,CP-SMUS-A,Berdampak (Impacting),Menunjukkan ekspresi senang dalam kegiatan bermusik.,5
ELM-SMUS-B-01,CP-SMUS-B,Mengalami (Experiencing),Mengenali nada dan pola irama menggunakan anggota tubuh maupun alat musik.,1
ELM-SMUS-B-02,CP-SMUS-B,Merefleksikan (Reflecting),Melakukan umpan balik mengenai praktik bermusik diri sendiri atau orang lain menggunakan istilah musik.,2
ELM-SMUS-B-03,CP-SMUS-B,Berpikir dan Bekerja Artistik (Thinking and Working Artistically),Menirukan pola irama dan melodi menggunakan alat musik ritmis atau melodis; menyebutkan karakteristik ragam alat musik dan bunyi yang dihasilkan; mengetahui cara memainkan dan merawat alat musik.,3
ELM-SMUS-B-04,CP-SMUS-B,Menciptakan (Creating),Membuat bunyi menggunakan anggota tubuh atau alat musik ritmis dan melodis yang tersedia di lingkungan sekitar.,4
ELM-SMUS-B-05,CP-SMUS-B,Berdampak (Impacting),Menunjukkan minat dalam kegiatan bermusik.,5
ELM-SMUS-C-01,CP-SMUS-C,Mengalami (Experiencing),"Mengenali dan menerapkan unsur-unsur musik (nada, irama dan melodi) menggunakan alat musik ritmis dan melodis serta menunjukkan tingkat kepekaan akan unsur-unsur musik dengan menggunakan alat musik ritmis dan melodis.",1
ELM-SMUS-C-02,CP-SMUS-C,Merefleksikan (Reflecting),Melakukan umpan balik mengenai karya dan kemampuan bermusik diri sendiri atau orang lain menggunakan istilah musik yang tepat.,2
ELM-SMUS-C-03,CP-SMUS-C,Berpikir dan Bekerja Artistik (Thinking and Working Artistically),"Mengeksplorasi variasi pola irama, tempo dan melodi dengan alat musik ritmis dan melodis menggunakan notasi musik dan teknik dasar yang telah dipelajari; menemukan alternatif untuk menghasilkan bunyi musik sederhana melalui eksplorasi material yang tersedia di lingkungan sekitar dan menerapkan cara memainkan dan merawat alat musik dengan teknik yang tepat sesuai dengan spesifikasi bahan alat musik.",3
ELM-SMUS-C-04,CP-SMUS-C,Menciptakan (Creating),Membuat dan mengembangkan pola irama menggunakan anggota tubuh atau alat musik ritmis yang tersedia berdasarkan nilai kearifan lokal daerahnya.,4
ELM-SMUS-C-05,CP-SMUS-C,Berdampak (Impacting),Menunjukkan minat dan rasa ingin tahu dalam kegiatan bermusik.,5
ELM-RUPA-A-01,CP-RUPA-A,Mengalami (Experiencing),Mengenali dan menyebutkan unsur-unsur rupa dalam benda-benda di sekitar/karya seni rupa.,1
ELM-RUPA-A-02,CP-RUPA-A,Merefleksikan (Reflecting),Merefleksikan dan mengapresiasi karya diri sendiri.,2
ELM-RUPA-A-03,CP-RUPA-A,Berpikir dan Bekerja Artistik (Thinking and Working Artistically),Mengenali dan menguji coba alat dan/atau bahan yang dimiliki.,3
ELM-RUPA-A-04,CP-RUPA-A,Menciptakan (Creating),Membuat karya seni rupa berdasarkan pengalaman dan hasil pengamatan terhadap lingkungan sekitar.,4
ELM-RUPA-A-05,CP-RUPA-A,Berdampak (Impacting),Menghasilkan karya seni rupa yang berdampak pada perasaan dirinya.,5
ELM-RUPA-B-01,CP-RUPA-B,Mengalami (Experiencing),Mengidentifikasi unsur rupa dan prinsip desain dalam benda-benda di sekitar/karya seni rupa.,1
ELM-RUPA-B-02,CP-RUPA-B,Merefleksikan (Reflecting),Merefleksikan dan mengapresiasi karya diri sendiri dan teman sekelas menggunakan kosa kata seni rupa yang sesuai.,2
ELM-RUPA-B-03,CP-RUPA-B,Berpikir dan Bekerja Artistik (Thinking and Working Artistically),Mengenali dan menguji coba alat dan/atau bahan yang dimiliki serta prosedur penggunaannya.,3
ELM-RUPA-B-04,CP-RUPA-B,Menciptakan (Creating),Membuat karya seni rupa berdasarkan pengalaman dan hasil pengamatan terhadap lingkungan sekitar.,4
ELM-RUPA-B-05,CP-RUPA-B,Berdampak (Impacting),Menghasilkan karya seni rupa yang berdampak pada perasaan atau mewakili harapannya.,5
ELM-RUPA-C-01,CP-RUPA-C,Mengalami (Experiencing),Menjelaskan unsur rupa dan prinsip desain dalam benda-benda di sekitar/karya seni rupa.,1
ELM-RUPA-C-02,CP-RUPA-C,Merefleksikan (Reflecting),Merefleksikan dan mengapresiasi karya diri sendiri dan teman sekelas menggunakan kosa kata seni rupa yang sesuai.,2
ELM-RUPA-C-03,CP-RUPA-C,Berpikir dan Bekerja Artistik (Thinking and Working Artistically),Mengenali dan menguji coba variasi teknik penggunaan alat dan/atau bahan.,3
ELM-RUPA-C-04,CP-RUPA-C,Menciptakan (Creating),Membuat karya seni rupa berdasarkan pengalaman dan/atau hasil pengamatan terhadap lingkungan sekitar melalui pengembangan imajinasi.,4
ELM-RUPA-C-05,CP-RUPA-C,Berdampak (Impacting),Menghasilkan karya seni rupa yang mewakili minatnya.,5
ELM-TARI-A-01,CP-TARI-A,Mengalami (Experiencing),"Mengenal bentuk tari sebagai media komunikasi serta mengembangkan kesadaran diri dalam bereksplorasi unsur utama tari meliputi gerak, ruang, tenaga, waktu, gerak di tempat dan gerak berpindah.",1
ELM-TARI-A-02,CP-TARI-A,Merefleksikan (Reflecting),"Mengidentifikasi unsur utama tari meliputi gerak, ruang, tenaga, waktu, gerak di tempat dan gerak berpindah, serta mengemukakan pencapaian diri secara lisan, tulisan, dan kinestetik.",2
ELM-TARI-A-03,CP-TARI-A,Berpikir dan Bekerja Artistik (Thinking and Working Artistically),"Meragakan hasil gerak berdasarkan etika sebagai penampil dan penonton dengan keyakinan dan percaya diri saat mengekspresikan ide, perasaan kepada penonton atau lingkungan sekitar.",3
ELM-TARI-A-04,CP-TARI-A,Menciptakan (Creating),"Mengembangkan unsur utama tari (gerak, ruang, waktu, dan tenaga), gerak di tempat, dan gerak berpindah untuk membuat gerak sederhana yang memiliki kesatuan gerak yang indah.",4
ELM-TARI-A-05,CP-TARI-A,Berdampak (Impacting),Menerima proses pembelajaran sehingga tumbuh rasa ingin tahu dan dapat menunjukkan antusiasme yang berdampak pada kemampuan diri dalam menyelesaikan aktivitas pembelajaran tari.,5
ELM-TARI-B-01,CP-TARI-B,Mengalami (Experiencing),"Mengamati bentuk penyajian tari berdasarkan latar belakang serta mengeksplorasi unsur utama tari sesuai level gerak, dan perubahan arah hadap.",1
ELM-TARI-B-02,CP-TARI-B,Merefleksikan (Reflecting),"Mengidentifikasi unsur utama tari sesuai level gerak, dan perubahan arah hadap, serta menilai pencapaian diri saat melakukan aktivitas pembelajaran tari.",2
ELM-TARI-B-03,CP-TARI-B,Berpikir dan Bekerja Artistik (Thinking and Working Artistically),Meragakan hasil tari dengan bekerja secara kooperatif untuk mengembangkan kemampuan bekerja sama dan saling menghargai demi tercapainya tujuan bersama.,3
ELM-TARI-B-04,CP-TARI-B,Menciptakan (Creating),"Mengembangkan gerak dengan unsur utama tari, level, dan perubahan arah hadap.",4
ELM-TARI-B-05,CP-TARI-B,Berdampak (Impacting),Menerima proses pembelajaran sehingga tumbuh rasa ingin tahu dan dapat menunjukkan usaha yang berdampak pada kemampuan diri dalam menyelesaikan aktivitas pembelajaran tari.,5
ELM-TARI-C-01,CP-TARI-C,Mengalami (Experiencing),Mengamati berbagai bentuk tari tradisi yang dapat digunakan untuk mengekspresikan diri melalui unsur pendukung tari.,1
ELM-TARI-C-02,CP-TARI-C,Merefleksikan (Reflecting),Mengidentifikasi unsur pendukung tari dalam tari tradisi serta menghargai hasil pencapaian diri dengan mempertimbangkan pendapat orang lain.,2
ELM-TARI-C-03,CP-TARI-C,Berpikir dan Bekerja Artistik (Thinking and Working Artistically),Meragakan hasil rangkaian gerak tari menggunakan unsur pendukung tari dengan menunjukan kerja sama dan berperan aktif dalam kelompok.,3
ELM-TARI-C-04,CP-TARI-C,Menciptakan (Creating),Merangkai gerak tari yang berpijak pada tradisi/ kreasi dengan menerapkan desain kelompok.,4
ELM-TARI-C-05,CP-TARI-C,Berdampak (Impacting),Menanggapi kejadian-kejadian di lingkungan sekitar melalui tari yang disajikan kepada penonton atau masyarakat sekitar.,5
ELM-TEATER-A-01,CP-TEATER-A,Mengalami (Experiencing),"Mengamati, merespons, meniru gerak tubuh dan suara sebagai media untuk mengomunikasikan emosi.",1
