kode_tampil,elemen_id,tingkat_kelas,teks_tujuan,semester,halaman_lampiran
TP-PP-6-4.2,ELM-PP-C-04,6,Murid mampu menunjukkan perilaku gotong royong untuk menjaga persatuan di lingkungan sekolah dan sekitar sebagai wujud bela negara.,1,84
TP-BI-1-1.1,ELM-BI-A-01,1,"Murid mampu memahami informasi dari teks nonsastra berbentuk teks aural (teks yang dibacakan dan/atau didengarkan) berupa percakapan yang berkaitan dengan diri, keluarga, dan/atau lingkungan sekitar",1,94
TP-BI-2-1.2,ELM-BI-A-01,2,Murid mampu dan memahami pesan teks sastra berbentuk teks aural.,1,94
TP-BI-1-2.1,ELM-BI-A-02,1,"Murid mampu membaca kata-kata sederhana dengan fasih dari bacaan dan/atau tayangan yang dipirsa tentang diri, keluarga, kesehatan, dan/atau lingkungan sekitar",1,94
TP-BI-2-2.2,ELM-BI-A-02,2,"Murid mampu dan memahami isi bacaan dan/atau tayangan yang dipirsa tentang diri, keluarga, kesehatan, dan/atau lingkungan sekitar.",1,94
TP-BI-1-3.1,ELM-BI-A-03,1,"Murid mampu merespons dengan bertanya tentang sesuatu, menjawab, dan menanggapi komentar orang lain (teman, pendidik, dan/atau orang dewasa) dengan baik dan santun dalam suatu percakapan tentang diri, keluarga, kesehatan, dan/atau lingkungan sekitar",1,94
TP-BI-2-3.2,ELM-BI-A-03,2,Murid mampu mengungkapkan perasaan dan gagasan secara lisan dengan atau tanpa bantuan gambar,1,94
TP-BI-1-3.3,ELM-BI-A-03,1,"Murid mampu dan menceritakan kembali isi berbagai tipe teks yang dibaca, dipirsa, atau didengar tentang diri, keluarga, kesehatan, dan/atau lingkungan sekitar.",2,94
TP-BI-1-4.1,ELM-BI-A-04,1,Murid mampu menulis permulaan dengan benar di atas kertas dan/atau melalui media digital,1,94
TP-BI-2-4.2,ELM-BI-A-04,2,Murid mampu mengembangkan tulisan tangan yang semakin baik,1,94
TP-BI-1-4.3,ELM-BI-A-04,1,"Murid mampu dan menulis berbagai tipe teks sederhana tentang diri, keluarga, dan/atau lingkungan sekitar dengan beberapa kalimat sederhana.",2,94
TP-BI-3-1.1,ELM-BI-B-01,3,Murid mampu memahami ide pokok suatu informasi dari teks nonsastra berbentuk teks aural (teks yang dibacakan dan/atau didengarkan),1,95
TP-BI-4-1.2,ELM-BI-B-01,4,Murid mampu dan memahami isi teks sastra berbentuk teks aural.,1,95
TP-BI-3-2.1,ELM-BI-B-02,3,Murid mampu membaca kata-kata baru dengan fasih dari bacaan dan/atau tayangan yang dipirsa,1,95
TP-BI-4-2.2,ELM-BI-B-02,4,"Murid mampu dan memahami ide pokok, ide pendukung, pesan, dan informasi dalam teks sastra dan nonsastra berbentuk cetak dan/atau elektronik.",1,95
TP-BI-3-3.1,ELM-BI-B-03,3,"Murid mampu menyajikan pendapat dengan pilihan kata dan sikap tubuh/gestur yang sesuai, menggunakan volume dan intonasi yang tepat sesuai konteks",1,95
TP-BI-4-3.2,ELM-BI-B-03,4,Murid mampu menanggapi diskusi sesuai tata cara,1,95
TP-BI-3-3.3,ELM-BI-B-03,3,"Murid mampu dan menceritakan kembali isi dan/atau informasi dari berbagai tipe teks yang dibaca, dipirsa, atau didengar.",2,95
TP-BI-3-4.1,ELM-BI-B-04,3,Murid mampu menulis berbagai tipe teks sederhana dengan rangkaian kalimat yang beragam,1,95
TP-BI-4-4.2,ELM-BI-B-04,4,Murid mampu dan menggunakan kaidah kebahasaan dan kosakata baru yang memiliki makna denotatif untuk menulis teks sesuai dengan konteks.,1,95
TP-BI-5-1.1,ELM-BI-C-01,5,Murid mampu menganalisis informasi dari teks nonsastra berbentuk teks aural (teks yang dibacakan dan/atau didengarkan,1,95
TP-BI-6-1.2,ELM-BI-C-01,6,Murid mampu dan menganalisis isi teks sastra berbentuk teks aural.,1,95
TP-BI-5-2.1,ELM-BI-C-02,5,Murid mampu membaca kata-kata dengan berbagai pola kombinasi huruf dengan fasih dari bacaan dan/atau tayangan yang dipirsa,1,95
TP-BI-6-2.2,ELM-BI-C-02,6,Murid mampu dan menganalisis informasi serta nilai-nilai dalam teks sastra dan nonsastra berwujud teks visual dan/atau audiovisual.,1,95
TP-BI-5-3.1,ELM-BI-C-03,5,Murid mampu mempresentasikan gagasan dari berbagai tipe teks dengan efektif dan santun,1,95
TP-BI-6-3.2,ELM-BI-C-03,6,"Murid mampu dan menyampaikan perasaan berdasarkan fakta, imajinasi (dari diri sendiri dan orang lain) secara indah dan menarik dalam bentuk teks sastra dengan penggunaan kosakata secara kreatif.",1,95
TP-BI-5-4.1,ELM-BI-C-04,5,"Murid mampu menulis berbagai tipe teks sederhana berdasarkan gagasan, hasil pengamatan, pengalaman, dan/atau imajinasi dengan rangkaian kalimat kompleks secara kreatif, menarik, dan/atau indah",1,95
TP-BI-6-4.2,ELM-BI-C-04,6,Murid mampu dan menggunakan kaidah kebahasaan dan kosakata baru yang memiliki makna denotatif dan konotatif.,1,95
TP-MAT-1-1.1,ELM-MAT-A-01,1,Murid mampu menunjukkan pemahaman dan memiliki intuisi bilangan (number sense) pada bilangan cacah sampai 100,1,111
TP-MAT-2-1.2,ELM-MAT-A-01,2,"Murid mampu membaca, menulis, menentukan nilai tempat, membandingkan, mengurutkan, serta melakukan komposisi (menyusun) dan dekomposisi (mengurai) bilangan",1,111
TP-MAT-1-1.3,ELM-MAT-A-01,1,Murid mampu melakukan operasi penjumlahan dan pengurangan menggunakan benda-benda konkret yang banyaknya sampai 20,2,111
TP-MAT-2-1.4,ELM-MAT-A-01,2,Murid mampu dan menunjukkan pemahaman pecahan sebagai bagian dari keseluruhan melalui konteks membagi sebuah benda atau kumpulan benda sama banyak (pecahan yang diperkenalkan adalah setengah dan seperempat).,2,111
TP-MAT-1-2.1,ELM-MAT-A-02,1,"Murid mampu menunjukan pemahaman makna simbol matematika ""="" dalam suatu kalimat matematika yang terkait dengan penjumlahan dan pengurangan bilangan cacah sampai 20 menggunakan gambar.",1,111
TP-MAT-2-2.2,ELM-MAT-A-02,2,"Murid mampu contoh: Murid dapat mengenali, meniru, dan melanjutkan pola bukan bilangan (misalnya, gambar, warna, bunyi/suara).",1,111
TP-MAT-1-3.1,ELM-MAT-A-03,1,"Murid mampu membandingkan panjang dan berat benda secara langsung, dan membandingkan durasi waktu",1,111
TP-MAT-2-3.2,ELM-MAT-A-03,2,Murid mampu mengukur dan mengestimasi panjang dan berat benda menggunakan satuan tidak baku.,1,111
TP-MAT-1-4.1,ELM-MAT-A-04,1,"Murid mampu mengenal berbagai bangun datar (segitiga, segiempat, segi banyak, lingkaran) dan bangun ruang (balok, kubus, kerucut, dan bola)",1,111
TP-MAT-2-4.2,ELM-MAT-A-04,2,"Murid mampu melakukan komposisi (penyusunan) dan dekomposisi (penguraian) suatu bangun datar (segitiga, segiempat, dan segi banyak)",1,111
TP-MAT-1-4.3,ELM-MAT-A-04,1,"Murid mampu dan menentukan posisi benda terhadap benda lain (kanan, kiri, depan belakang, bawah, atas).",2,111
TP-MAT-1-5.1,ELM-MAT-A-05,1,"Murid mampu mengurutkan, menyortir, mengelompokkan, membandingkan, dan menyajikan data dari banyak benda dengan menggunakan turus dan piktogram paling banyak 4 kategori.",1,111
TP-MAT-3-1.1,ELM-MAT-B-01,3,Murid mampu memiliki pemahaman dan intuisi bilangan (number sense) pada bilangan cacah sampai 10.000,1,112
TP-MAT-4-1.2,ELM-MAT-B-01,4,"Murid mampu membaca, menulis, membandingkan, dan mengurutkan bilangan",1,112
TP-MAT-3-1.3,ELM-MAT-B-01,3,Murid mampu menentukan dan menggunakan nilai tempat,2,112
TP-MAT-4-1.4,ELM-MAT-B-01,4,Murid mampu melakukan komposisi dan dekomposisi bilangan cacah sampai 10.000.,2,112
TP-MAT-3-2.1,ELM-MAT-B-02,3,"Murid mampu menemukan nilai yang tidak diketahui dalam kalimat matematika yang melibatkan penjumlahan dan pengurangan pada bilangan cacah sampai 100, dengan menggunakan sifat-sifat bilangan dan operasinya.",1,112
TP-MAT-4-2.2,ELM-MAT-B-02,4,"Murid mampu murid dapat mengidentifikasi, meniru, dan mengembangkan pola gambar atau objek sederhana dan pola bilangan membesar dan mengecil yang dapat melibatkan penjumlahan dan pengurangan pada bilangan cacah sampai 100.",1,112
TP-MAT-3-3.1,ELM-MAT-B-03,3,Murid mampu mengukur panjang dan berat benda menggunakan satuan baku,1,112
TP-MAT-4-3.2,ELM-MAT-B-03,4,"Murid mampu menentukan hubungan antar-satuan baku panjang (cm, m) dan antar-satuan berat (g, kg)",1,112
TP-MAT-3-3.3,ELM-MAT-B-03,3,Murid mampu serta mengukur dan mengestimasi luas dan volume menggunakan satuan tidak baku dan satuan baku berupa bilangan cacah.,2,112
TP-MAT-3-4.1,ELM-MAT-B-04,3,"Murid mampu mendeskripsikan ciri berbagai bentuk bangun datar (segiempat, segitiga, segi banyak)",1,112
TP-MAT-4-4.2,ELM-MAT-B-04,4,Murid mampu menyusun (komposisi) dan mengurai (dekomposisi) berbagai bangun datar dengan lebih dari satu cara jika memungkinkan.,1,112
TP-MAT-3-5.1,ELM-MAT-B-05,3,"Murid mampu mengurutkan, membandingkan, menyajikan, menganalisis dan menginterpretasi data dalam bentuk tabel, diagram gambar, piktogram, dan diagram batang (skala satu satuan).",1,112
TP-MAT-5-1.1,ELM-MAT-C-01,5,Murid mampu menunjukkan pemahaman dan intuisi bilangan (number sense) pada bilangan cacah sampai 1.000.000,1,114
TP-MAT-6-1.2,ELM-MAT-C-01,6,"Murid mampu membaca, menulis, menentukan nilai tempat, membandingkan, mengurutkan, melakukan komposisi dan dekomposisi bilangan",1,114
TP-MAT-5-1.3,ELM-MAT-C-01,5,Murid mampu menyelesaikan masalah yang berkaitan dengan uang,2,114
TP-MAT-6-1.4,ELM-MAT-C-01,6,"Murid mampu melakukan operasi penjumlahan, pengurangan, perkalian, dan pembagian bilangan cacah sampai 100.000",2,114
TP-MAT-5-2.1,ELM-MAT-C-02,5,"Murid mampu menemukan nilai yang belum diketahui dalam kalimat matematika yang melibatkan penjumlahan, pengurangan, perkalian, dan pembagian pada bilangan cacah sampai 1000 dengan menggunakan sifat-sifat bilangan dan operasinya.",1,114
TP-MAT-6-2.2,ELM-MAT-C-02,6,"Murid mampu murid dapat mengidentifikasi, meniru, dan mengembangkan pola bilangan membesar dan mengecil yang melibatkan perkalian dan pembagian",1,114
TP-MAT-5-2.3,ELM-MAT-C-02,5,Murid mampu bernalar secara proporsional untuk menyelesaikan masalah sehari-hari dengan rasio satuan,2,114
TP-MAT-6-2.4,ELM-MAT-C-02,6,Murid mampu menggunakan operasi perkalian dan pembagian dalam menyelesaikan masalah sehari- hari yang terkait dengan proporsi.,2,114
TP-MAT-5-3.1,ELM-MAT-C-03,5,"Murid mampu menentukan keliling dan luas berbagai bentuk bangun datar (segitiga, segiempat, dan segi banyak) serta gabungannya",1,114
TP-MAT-6-3.2,ELM-MAT-C-03,6,Murid mampu menghitung durasi waktu dan mengukur besar sudut pada bangun datar atau yang dibentuk dari dua garis berpotongan.,1,114
TP-MAT-5-4.1,ELM-MAT-C-04,5,"Murid mampu mengkonstruksi dan mengurai bangun ruang (kubus, balok, dan gabungannya) dan mengenali visualisasi spasial (bagian depan, atas, dan samping)",1,114
TP-MAT-6-4.2,ELM-MAT-C-04,6,Murid mampu membandingkan karakteristik antar bangun datar dan antar bangun ruang,1,114
TP-MAT-5-4.3,ELM-MAT-C-04,5,Murid mampu serta menentukan lokasi pada peta yang menggunakan sistem berpetak.,2,114
TP-MAT-5-5.1,ELM-MAT-C-05,5,"Murid mampu mengurutkan, membandingkan, menyajikan, dan menganalisis data banyak benda dan data hasil pengukuran dalam bentuk gambar, piktogram, diagram batang, dan tabel frekuensi untuk mendapatkan informasi",1,114
TP-MAT-6-5.2,ELM-MAT-C-05,6,Murid mampu menentukan kejadian dengan kemungkinan yang lebih besar atau lebih kecil dalam suatu percobaan acak.,1,114
TP-BING-3-1.1,ELM-BING-B-01,3,Murid mampu memahami dan merespon teks lisan atau teks multimodal sederhana tentang kehidupan sehari-hari baik secara verbal atau non-verbal sesuai konteks. (understand and respond to simple oral or multimodal texts about everyday life verbally or non-verbally in line with its context),1,133
TP-BING-3-2.1,ELM-BING-B-02,3,Murid mampu memahami teks tulis pendek sederhana atau teks multimodal tentang kehidupan sehari-hari dan meresponsnya secara verbal atau non-verbal sesuai konteks. (Understand simple short texts or multimodal texts about everyday life and respond to them verbally or non-verbally in line with its context),1,133
TP-BING-3-3.1,ELM-BING-B-03,3,Murid mampu mengomunikasikan gagasan tentang topik sehari-hari dalam teks tulis pendek atau teks multimodal sesuai konteks. (Communicate their ideas on everyday life topics in simple written or multimodal texts in line with its context),1,133
TP-BING-5-1.1,ELM-BING-C-01,5,Murid mampu memahami alur informasi teks secara keseluruhan dan merespon teks lisan atau teks multimodal sederhana tentang topik sehari-hari secara lisan dengan kalimat pendek dan sederhana sesuai konteks. (Understand the entire flow of information and respond to simple oral or multimodal texts about everyday topics using short and simple sentences verbally in line with its context),1,134
TP-BING-5-2.1,ELM-BING-C-02,5,"Murid mampu memahami alur informasi secara keseluruhan, gagasan utama dan informasi rinci dari beragam teks pendek atau teks multimodal tentang topik sehari-hari dan meresponnya sesuai konteks. (Understand the entire flow of information, main ideas and details from a variety of short texts or multimodal texts about everyday topics and respond in line with its context)",1,134
TP-BING-5-3.1,ELM-BING-C-03,5,Murid mampu mengomunikasikan ide dan pengalamannya melalui berbagai jenis teks tulis sederhana atau teks multimodal tentang topik sehari-hari sesuai konteks. (Communicate their ideas and experiences through various types of simple written texts or multimodal texts about everyday topics in line with its context),1,134
TP-IPAS-3-1.1,ELM-IPAS-B-01,3,Murid mampu menjelaskan bentuk dan fungsi pancaindra,1,149
TP-IPAS-4-1.2,ELM-IPAS-B-01,4,Murid mampu menganalisis siklus hidup makhluk hidup dan upaya pelestariannya,1,149
TP-IPAS-3-1.3,ELM-IPAS-B-01,3,Murid mampu menghasilkan solusi untuk masalah yang berkaitan dengan pelestarian sumber daya alam sebagai upaya mitigasi perubahan iklim,2,149
TP-IPAS-4-1.4,ELM-IPAS-B-01,4,Murid mampu menyimpulkan proses perubahan wujud zat,2,149
TP-IPAS-3-2.1,ELM-IPAS-B-02,3,"Murid mampu mampu menerapkan keterampilan proses yang meliputi: ● Mengamati Murid mengamati fenomena dan peristiwa secara sederhana dan dapat mencatat hasil pengamatannya. ● Mempertanyakan dan Memprediksi Secara mandiri, murid mengajukan pertanyaan tentang hal-hal yang ingin diketahui saat melakukan pengamatan dan membuat prediksi berdasarkan pengetahuan yang dimiliki sebelumnya. ● Merencanakan dan Melakukan Penyelidikan Dengan panduan pendidik, murid membuat rencana dan melakukan langkah-langkah operasional untuk menjawab pertanyaan yang diajukan.",1,149
TP-IPAS-4-2.2,ELM-IPAS-B-02,4,"Murid mampu murid melakukan observasi menggunakan alat bantu pengukuran sederhana. ● Memproses, Menganalisis Data dan Informasi Dengan panduan pendidik, murid mengorganisasikan data dalam bentuk turus dan diagram gambar untuk menyajikan dan mengidentifikasi pola.",1,149
TP-IPAS-3-2.3,ELM-IPAS-B-02,3,Murid mampu murid membandingkan antara hasil pengamatan dengan prediksi dan memberikan penjelasan. ● Mengevaluasi dan Refleksi Murid melakukan refleksi terhadap penyelidikan yang sudah dilakukan. ● Mengomunikasikan Hasil Murid mengomunikasikan hasil penyelidikan secara lisan dan tertulis dalam berbagai media.,2,149
TP-IPAS-5-1.1,ELM-IPAS-C-01,5,Murid mampu merefleksikan sistem organ tubuh manusia yang dikaitkan dengan cara menjaga kesehatan tubuhnya,1,151
TP-IPAS-6-1.2,ELM-IPAS-C-01,6,"Murid mampu menganalisis hubungan antar komponen biotik dan abiotik, serta pengaruhnya terhadap ekosistem",1,151
TP-IPAS-5-1.3,ELM-IPAS-C-01,5,Murid mampu menjelaskan fenomena gelombang bunyi dan cahaya dalam kehidupan sehari-hari,2,151
TP-IPAS-6-1.4,ELM-IPAS-C-01,6,"Murid mampu menghasilkan upaya penghematan energi, serta pemanfaatan sumber energi alternatif dari sumber daya yang ada di sekitarnya sebagai upaya mitigasi perubahan iklim",2,151
TP-IPAS-5-2.1,ELM-IPAS-C-02,5,"Murid mampu mampu menerapkan keterampilan proses yang meliputi: ● Mengamati Murid mengamati fenomena dan peristiwa secara sederhana, mencatat hasil pengamatannya, serta mencari persamaan dan perbedaannya. ● Mempertanyakan dan Memprediksi Dengan panduan pendidik, murid mengidentifikasi pertanyaan yang dapat diselidiki secara ilmiah dan membuat prediksinya. ● Merencanakan dan Melakukan Penyelidikan Secara mandiri, murid merencanakan dan melakukan langkah-langkah operasional untuk menjawab pertanyaan yang diajukan.",1,151
TP-IPAS-6-2.2,ELM-IPAS-C-02,6,"Murid mampu murid melakukan observasi menggunakan alat bantu pengukuran sederhana. ● Memproses serta Menganalisis Data dan Informasi Murid mengolah data dalam bentuk tabel dan grafik, serta menjelaskan hasil pengamatan dan pola atau hubungan pada data.",1,151
TP-IPAS-5-2.3,ELM-IPAS-C-02,5,Murid mampu murid membandingkan data dengan prediksi dan memberikan alasan berdasarkan bukti. ● Mengevaluasi dan Refleksi Melakukan refleksi dan memberikan saran perbaikan terhadap penyelidikan yang sudah dilakukan. ● Mengomunikasikan Hasil Murid mengomunikasikan hasil penyelidikan secara utuh yang ditunjang dengan argumen dalam berbagai media.,2,151
TP-SMUS-1-1.1,ELM-SMUS-A-01,1,Murid mampu mengenali unsur-unsur musik (nada dan irama) menggunakan anggota tubuh maupun alat musik.,1,238
TP-SMUS-1-2.1,ELM-SMUS-A-02,1,Murid mampu melakukan umpan balik mengenai praktik bermain musik diri sendiri atau orang lain menggunakan bahasa sehari-hari.,1,238
TP-SMUS-1-3.1,ELM-SMUS-A-03,1,Murid mampu menirukan pola irama dan nada menggunakan alat musik ritmis atau melodis,1,238
TP-SMUS-2-3.2,ELM-SMUS-A-03,2,Murid mampu mengenali ragam alat musik dan bunyi yang dihasilkan,1,238
TP-SMUS-1-3.3,ELM-SMUS-A-03,1,Murid mampu mengenali cara memainkan dan membersihkan instrumen/alat musik.,2,238
TP-SMUS-1-4.1,ELM-SMUS-A-04,1,Murid mampu membuat pola irama menggunakan anggota tubuh atau alat musik ritmis yang tersedia di lingkungan sekitar.,1,238
TP-SMUS-1-5.1,ELM-SMUS-A-05,1,Murid mampu menunjukkan ekspresi senang dalam kegiatan bermusik.,1,238
TP-SMUS-3-1.1,ELM-SMUS-B-01,3,Murid mampu mengenali nada dan pola irama menggunakan anggota tubuh maupun alat musik.,1,239
TP-SMUS-3-2.1,ELM-SMUS-B-02,3,Murid mampu melakukan umpan balik mengenai praktik bermusik diri sendiri atau orang lain menggunakan istilah musik.,1,239
TP-SMUS-3-3.1,ELM-SMUS-B-03,3,Murid mampu menirukan pola irama dan melodi menggunakan alat musik ritmis atau melodis,1,239
TP-SMUS-4-3.2,ELM-SMUS-B-03,4,Murid mampu menyebutkan karakteristik ragam alat musik dan bunyi yang dihasilkan,1,239
TP-SMUS-3-3.3,ELM-SMUS-B-03,3,Murid mampu mengetahui cara memainkan dan merawat alat musik.,2,239
TP-SMUS-3-4.1,ELM-SMUS-B-04,3,Murid mampu membuat bunyi menggunakan anggota tubuh atau alat musik ritmis dan melodis yang tersedia di lingkungan sekitar.,1,239
TP-SMUS-3-5.1,ELM-SMUS-B-05,3,Murid mampu menunjukkan minat dalam kegiatan bermusik.,1,239
TP-SMUS-5-1.1,ELM-SMUS-C-01,5,"Murid mampu mengenali dan menerapkan unsur-unsur musik (nada, irama dan melodi) menggunakan alat musik ritmis dan melodis serta menunjukkan tingkat kepekaan akan unsur-unsur musik dengan menggunakan alat musik ritmis dan melodis.",1,240
TP-SMUS-5-2.1,ELM-SMUS-C-02,5,Murid mampu melakukan umpan balik mengenai karya dan kemampuan bermusik diri sendiri atau orang lain menggunakan istilah musik yang tepat.,1,240
TP-SMUS-5-3.1,ELM-SMUS-C-03,5,"Murid mampu mengeksplorasi variasi pola irama, tempo dan melodi dengan alat musik ritmis dan melodis menggunakan notasi musik dan teknik dasar yang telah dipelajari",1,240
TP-SMUS-6-3.2,ELM-SMUS-C-03,6,Murid mampu menemukan alternatif untuk menghasilkan bunyi musik sederhana melalui eksplorasi material yang tersedia di lingkungan sekitar dan menerapkan cara memainkan dan merawat alat musik dengan teknik yang tepat sesuai dengan spesifikasi bahan alat musik.,1,240
TP-SMUS-5-4.1,ELM-SMUS-C-04,5,Murid mampu membuat dan mengembangkan pola irama menggunakan anggota tubuh atau alat musik ritmis yang tersedia berdasarkan nilai kearifan lokal daerahnya.,1,240
TP-SMUS-5-5.1,ELM-SMUS-C-05,5,Murid mampu menunjukkan minat dan rasa ingin tahu dalam kegiatan bermusik.,1,240
TP-RUPA-1-1.1,ELM-RUPA-A-01,1,Murid mampu mengenali dan menyebutkan unsur-unsur rupa dalam benda-benda di sekitar/karya seni rupa.,1,246
TP-RUPA-1-2.1,ELM-RUPA-A-02,1,Murid mampu merefleksikan dan mengapresiasi karya diri sendiri.,1,246
TP-RUPA-1-3.1,ELM-RUPA-A-03,1,Murid mampu mengenali dan menguji coba alat dan/atau bahan yang dimiliki.,1,246
TP-RUPA-1-4.1,ELM-RUPA-A-04,1,Murid mampu membuat karya seni rupa berdasarkan pengalaman dan hasil pengamatan terhadap lingkungan sekitar.,1,246
TP-RUPA-1-5.1,ELM-RUPA-A-05,1,Murid mampu menghasilkan karya seni rupa yang berdampak pada perasaan dirinya.,1,246
TP-RUPA-3-1.1,ELM-RUPA-B-01,3,Murid mampu mengidentifikasi unsur rupa dan prinsip desain dalam benda-benda di sekitar/karya seni rupa.,1,247
TP-RUPA-3-2.1,ELM-RUPA-B-02,3,Murid mampu merefleksikan dan mengapresiasi karya diri sendiri dan teman sekelas menggunakan kosa kata seni rupa yang sesuai.,1,247
TP-RUPA-3-3.1,ELM-RUPA-B-03,3,Murid mampu mengenali dan menguji coba alat dan/atau bahan yang dimiliki serta prosedur penggunaannya.,1,247
TP-RUPA-3-4.1,ELM-RUPA-B-04,3,Murid mampu membuat karya seni rupa berdasarkan pengalaman dan hasil pengamatan terhadap lingkungan sekitar.,1,247
TP-RUPA-3-5.1,ELM-RUPA-B-05,3,Murid mampu menghasilkan karya seni rupa yang berdampak pada perasaan atau mewakili harapannya.,1,247
TP-RUPA-5-1.1,ELM-RUPA-C-01,5,Murid mampu menjelaskan unsur rupa dan prinsip desain dalam benda-benda di sekitar/karya seni rupa.,1,247
TP-RUPA-5-2.1,ELM-RUPA-C-02,5,Murid mampu merefleksikan dan mengapresiasi karya diri sendiri dan teman sekelas menggunakan kosa kata seni rupa yang sesuai.,1,247
TP-RUPA-5-3.1,ELM-RUPA-C-03,5,Murid mampu mengenali dan menguji coba variasi teknik penggunaan alat dan/atau bahan.,1,247
TP-RUPA-5-4.1,ELM-RUPA-C-04,5,Murid mampu membuat karya seni rupa berdasarkan pengalaman dan/atau hasil pengamatan terhadap lingkungan sekitar melalui pengembangan imajinasi.,1,247
TP-RUPA-5-5.1,ELM-RUPA-C-05,5,Murid mampu menghasilkan karya seni rupa yang mewakili minatnya.,1,247
TP-TARI-1-1.1,ELM-TARI-A-01,1,"Murid mampu mengenal bentuk tari sebagai media komunikasi serta mengembangkan kesadaran diri dalam bereksplorasi unsur utama tari meliputi gerak, ruang, tenaga, waktu, gerak di tempat dan gerak berpindah.",1,256
